national_rank,shrid2,economic_growth_score,score_ntl,score_infra,score_housing,score_market,ntl_2019,ntl_2023,ntl_growth_ratio_capped,pc11_vd_t_p,pmay_density,pc11_state_id,pc11_district_id
79,11-32-594-05652-627721,83.99990966480262,99.44153620412305,84.99999999915,39.8664759175794,99.999999999,0.0006826185547449,0.8801094983030769,0.6306476332473161,8944.0,0.0,32,594
80,11-02-030-00156-019792,83.99380320133349,96.72061911557746,74.99999999925,80.27777777697499,69.9999999993,1.4319362539761855,3.444160474092215,0.6029032290052789,932.0,69.44444444444444,2,30
81,11-32-597-05670-628164,83.9671133820148,93.05109600815908,94.99999999905,39.98337489569327,99.999999999,0.8616617830936052,2.277089511097492,0.5654861636723063,33501.0,0.01187507421921387,32,597
82,11-10-232-01441-248256,83.9271610781078,99.43483818024428,89.9999999991,44.5161290318129,84.99999999915,2.450415636802408,5.482291235924099,0.6305793354359281,4545.0,14.516129032258066,10,232
83,11-32-592-05643-627500,83.89974532489263,92.84201394016975,94.99999999905,40.06469874606114,99.999999999,0.0,0.7565544902858149,0.5633542143238763,13040.0,0.3234937323089365,32,592
84,11-32-599-05681-628317,83.81716015174823,89.97938246525675,99.999999999,39.127035830227626,99.999999999,0.043921154499059,0.7809532480817345,0.5341647894897594,21797.0,0.0,32,599
85,11-27-531-04302-568718,83.75321332794339,99.99999990192914,99.999999999,33.766066837708614,79.9999999992,0.7968358970895475,2.7653920438629696,0.6363421259798077,6892.0,0.3213367609254499,27,531
86,11-08-111-00555-082071,83.6784313328839,99.99999990192914,94.99999999905,40.392156862341174,78.99999999921,0.7970059967333922,2.421390146102879,0.6363421259798077,2910.0,0.6535947712418301,8,111
87,11-24-490-03923-522934,83.67355275685313,96.08104970692185,94.99999999905,43.70566437224691,84.99999999915,2.6009375799680656,5.5376382424578825,0.5963817248075649,8833.0,8.258337744838538,24,490
88,11-23-454-03641-492537,83.65789469717718,99.99999990192914,74.99999999925,68.28947368352762,74.99999999925,0.8425784787458852,2.527152691857657,0.6363421259798077,1129.0,63.81578947368421,23,454
